12.9440000057: Attitude:pitch=0.0272551327944,yaw=0.096590615809,roll=0.036380071193
13.0450000763: Attitude:pitch=0.0272551327944,yaw=0.096590615809,roll=0.036380071193
13.1470000744: Attitude:pitch=0.0274143759161,yaw=0.0960220620036,roll=0.0361600294709
13.2479999065: Attitude:pitch=0.0274143759161,yaw=0.0960220620036,roll=0.0361600294709
13.3489999771: Attitude:pitch=0.0274143759161,yaw=0.0960220620036,roll=0.0361600294709
13.4500000477: Attitude:pitch=0.0274749360979,yaw=0.0951148495078,roll=0.0362398512661
13.5509998798: Attitude:pitch=0.0274749360979,yaw=0.0951148495078,roll=0.0362398512661
13.6519999504: Attitude:pitch=0.0274749360979,yaw=0.0951148495078,roll=0.0362398512661
13.7539999485: Attitude:pitch=0.0272965282202,yaw=0.0948568955064,roll=0.0363153144717
13.8550000191: Attitude:pitch=0.0272965282202,yaw=0.0948568955064,roll=0.0363153144717
13.9700000286: Attitude:pitch=0.0271678939462,yaw=0.0944694429636,roll=0.0362039506435
14.0709998608: Attitude:pitch=0.0271678939462,yaw=0.0944694429636,roll=0.0362039506435
14.1719999313: Attitude:pitch=0.0271678939462,yaw=0.0944694429636,roll=0.0362039506435
14.2720000744: Attitude:pitch=0.0270552393049,yaw=0.0942851379514,roll=0.0359940677881
14.3729999065: Attitude:pitch=0.0270552393049,yaw=0.0942851379514,roll=0.0359940677881
14.4739999771: Attitude:pitch=0.0270552393049,yaw=0.0942851379514,roll=0.0359940677881
14.5750000477: Attitude:pitch=0.0270647443831,yaw=0.095018453896,roll=0.0357734896243
14.6759998798: Attitude:pitch=0.0270647443831,yaw=0.095018453896,roll=0.0357734896243
14.7769999504: Attitude:pitch=0.0270647443831,yaw=0.095018453896,roll=0.0357734896243
14.878000021: Attitude:pitch=0.0267215110362,yaw=0.0957533940673,roll=0.0355258658528
14.9790000916: Attitude:pitch=0.0267215110362,yaw=0.0957533940673,roll=0.0355258658528
15.0799999237: Attitude:pitch=0.0267215110362,yaw=0.0957533940673,roll=0.0355258658528
15.1819999218: Attitude:pitch=0.0265574678779,yaw=0.0946590378881,roll=0.0357799716294
15.2829999924: Attitude:pitch=0.0265574678779,yaw=0.0946590378881,roll=0.0357799716294
15.3840000629: Attitude:pitch=0.0265574678779,yaw=0.0946590378881,roll=0.0357799716294
15.486000061: Attitude:pitch=0.0263115968555,yaw=0.0947333946824,roll=0.0363044291735
15.5869998932: Attitude:pitch=0.0263115968555,yaw=0.0947333946824,roll=0.0363044291735
15.6879999638: Attitude:pitch=0.0263115968555,yaw=0.0947333946824,roll=0.0363044291735
15.7899999619: Attitude:pitch=0.0238112285733,yaw=0.09802056849,roll=0.0404253229499
15.8910000324: Attitude:pitch=0.0238112285733,yaw=0.09802056849,roll=0.0404253229499
15.9919998646: Attitude:pitch=0.0238112285733,yaw=0.09802056849,roll=0.0404253229499
16.0929999352: Attitude:pitch=0.0776373818517,yaw=0.210472747684,roll=0.0860718712211
16.1940000057: Attitude:pitch=0.0776373818517,yaw=0.210472747684,roll=0.0860718712211
16.2950000763: Attitude:pitch=0.0776373818517,yaw=0.210472747684,roll=0.0860718712211
16.3959999084: Attitude:pitch=0.0455330945551,yaw=0.383039534092,roll=0.0873242691159
16.496999979: Attitude:pitch=0.0455330945551,yaw=0.383039534092,roll=0.0873242691159
16.5989999771: Attitude:pitch=0.100191541016,yaw=0.466307967901,roll=0.196644470096
16.7000000477: Attitude:pitch=0.100191541016,yaw=0.466307967901,roll=0.196644470096
16.8009998798: Attitude:pitch=0.100191541016,yaw=0.466307967901,roll=0.196644470096
16.9019999504: Attitude:pitch=0.21822181344,yaw=0.588807821274,roll=0.138513162732
17.003000021: Attitude:pitch=0.21822181344,yaw=0.588807821274,roll=0.138513162732
17.1040000916: Attitude:pitch=0.21822181344,yaw=0.588807821274,roll=0.138513162732
17.2049999237: Attitude:pitch=0.294831871986,yaw=0.786679327488,roll=0.0737578943372
17.3059999943: Attitude:pitch=0.294831871986,yaw=0.786679327488,roll=0.0737578943372
17.4070000648: Attitude:pitch=0.294831871986,yaw=0.786679327488,roll=0.0737578943372
17.5090000629: Attitude:pitch=0.297134250402,yaw=1.09414732456,roll=-0.101753212512
17.6099998951: Attitude:pitch=0.297134250402,yaw=1.09414732456,roll=-0.101753212512
17.7109999657: Attitude:pitch=0.297134250402,yaw=1.09414732456,roll=-0.101753212512
17.8120000362: Attitude:pitch=0.328483074903,yaw=1.14499044418,roll=-0.16115616262
17.9129998684: Attitude:pitch=0.328483074903,yaw=1.14499044418,roll=-0.16115616262
18.013999939: Attitude:pitch=0.328483074903,yaw=1.14499044418,roll=-0.16115616262
18.1150000095: Attitude:pitch=0.471296191216,yaw=1.3312278986,roll=-0.0400668978691
18.2160000801: Attitude:pitch=0.471296191216,yaw=1.3312278986,roll=-0.0400668978691
18.3169999123: Attitude:pitch=0.471296191216,yaw=1.3312278986,roll=-0.0400668978691
18.4189999104: Attitude:pitch=0.299767553806,yaw=1.77840733528,roll=-0.0441975407302
18.5199999809: Attitude:pitch=0.299767553806,yaw=1.77840733528,roll=-0.0441975407302
